red_flag,s0,s10,s90,s90d
1,45,31,11,0
0,92,81,94,13
0,98,84,81,12
1,35,35,2,0
0,89,66,51,6
0,96,79,77,22
0,100,79,68,12
0,88,78,82,12
0,98,67,98,16
0,81,68,49,8
0,81,68,65,6
0,88,72,69,15
0,85,66,79,8
0,94,71,75,10
2,88,78,100,21
0,94,90,62,8
1,47,32,9,0
2,90,82,125,10
0,90,70,53,8
1,38,32,5,0
2,91,78,102,9
1,37,35,8,0
0,88,77,73,21
0,89,68,63,4
1,30,25,3,0
1,49,42,11,0
2,99,80,105,12
1,28,28,2,0
0,83,73,91,7
1,36,30,7,1
1,49,38,10,0
0,98,88,87,15
0,87,71,72,10
1,43,34,3,6
1,44,28,5,0
0,119,67,93,19
2,97,75,121,20
0,83,62,63,5
0,85,84,69,9
0,78,73,77,12
1,42,37,6,2
0,78,70,37,10
2,108,101,100,23
1,45,27,7,5
0,96,72,87,13
0,96,71,76,10
1,33,23,4,0
0,103,85,69,2
0,118,103,85,7
1,38,34,3,1
1,44,37,8,3
1,11,8,0,1
1,44,33,11,3
0,89,70,78,12
0,122,107,89,13
0,97,88,87,7
0,93,83,91,15
0,93,73,58,9
1,56,58,4,0
0,114,89,89,13
0,90,72,89,15
1,15,15,9,0
2,134,112,125,29
1,47,35,7,1
0,94,77,66,18
0,109,80,84,6
2,106,84,134,10
1,16,15,1,6
0,92,80,93,19
0,86,67,68,14
0,73,75,49,4
1,50,36,9,0
2,127,117,141,19
1,13,12,1,0
2,141,106,143,16
0,101,92,73,13
0,105,70,75,11
0,104,66,77,22
1,12,12,0,0
0,102,50,86,8
0,93,74,95,8
1,53,34,10,1
0,110,77,94,25
0,104,85,77,9
0,106,79,72,12
1,80,38,12,2
2,128,113,96,12
2,113,80,123,21
0,102,68,89,10
0,103,68,76,8
0,164,72,69,5
0,68,56,86,8
1,40,31,5,1
0,90,69,68,4
2,99,70,114,12
2,108,91,103,7
0,98,76,89,10
2,102,86,99,13
0,92,70,66,11
1,46,31,11,2
0,99,78,76,11
2,105,84,103,11
1,32,21,7,1
1,50,45,6,4
0,83,76,77,8
0,107,76,83,16
2,103,78,120,14
0,104,79,89,17
2,105,72,104,22
1,63,40,13,4
2,115,73,110,15
2,114,92,145,25
0,97,76,75,23
0,93,73,87,22
1,70,63,12,3
2,130,118,105,8
1,53,40,8,0
0,86,79,90,6
0,97,87,83,8
0,89,70,41,11
2,136,122,143,15
2,101,83,104,10
2,107,97,98,20
0,122,117,74,7
1,46,29,5,3
2,97,85,106,19
0,100,73,88,13
0,97,85,80,13
1,60,60,11,3
0,102,74,90,5
2,98,69,102,13
2,100,85,111,18
0,98,73,83,13
1,14,15,1,1
1,43,27,8,2
2,96,82,113,11
1,51,39,9,1
1,40,41,6,4
2,129,123,144,15
0,103,77,82,19
2,115,88,131,23
1,47,35,9,0
0,95,68,50,5
2,124,87,123,20
1,78,36,11,0
0,89,56,62,7
2,105,86,121,14
0,105,68,81,14
0,92,74,72,8
1,11,10,0,0
0,97,86,89,15
0,105,76,93,12
0,99,71,92,7
1,40,33,5,0
1,53,32,6,0
2,110,81,100,11
1,35,26,5,2
1,34,37,3,3
1,79,55,13,4
1,39,30,9,0
2,99,95,122,19
1,36,27,6,0
0,121,74,75,9
2,106,92,128,15
2,115,77,104,15
0,97,73,74,3
2,105,78,104,6
1,37,39,10,4
0,84,79,65,8
2,103,68,109,9
2,129,104,124,18
1,15,22,5,0
2,115,83,105,24
2,119,74,105,17
0,97,70,52,9
1,16,27,7,0
0,78,70,66,6
0,133,73,40,3
1,46,35,2,3
0,97,59,69,8
0,116,102,66,9
1,51,45,4,2
2,116,76,134,22
2,115,80,102,21
2,120,76,138,26
1,38,30,8,2
0,112,74,94,18
1,10,12,0,0
2,112,88,108,7
0,74,74,49,11
0,96,80,89,11
2,103,82,102,10
0,108,85,86,15
1,13,16,0,0
0,91,71,60,12
0,74,63,48,4
1,33,33,5,1
2,106,81,107,12
2,87,83,110,15
0,51,33,69,14
1,76,38,9,0
0,103,84,72,5
0,103,80,83,11
1,46,38,8,1
2,132,90,124,13
1,52,44,3,0
1,49,37,10,0
1,15,16,0,0
1,59,49,12,0
2,119,82,107,16
0,95,72,73,16
0,81,68,72,8
0,103,83,85,11
0,100,72,88,22
0,105,85,93,3
0,94,76,82,20
0,95,78,81,13
2,121,51,130,22
2,114,78,158,21
1,49,30,6,3
0,94,78,62,4
0,105,70,93,10
0,100,73,85,6
2,96,73,107,7
2,107,78,99,12
2,105,75,153,29
2,115,98,127,15
2,111,96,189,24
1,99,59,18,1
2,131,113,176,15
2,105,86,108,16
0,99,78,97,15
1,42,34,12,1
1,46,41,8,0
2,103,79,105,26
2,117,99,98,21
1,39,29,6,0
0,86,76,41,5
0,88,69,78,20
1,37,13,11,1
0,99,88,78,8
0,98,78,62,11
0,97,71,83,5
2,110,98,97,22
2,91,83,109,7
0,92,83,85,13
1,38,27,6,0
0,102,63,73,7
1,17,16,2,0
0,98,60,53,8
0,96,72,96,11
2,100,80,113,10
0,103,83,83,14
0,96,75,64,7
2,102,91,118,29
2,108,83,140,23
1,12,11,1,0
1,103,54,32,3
1,47,45,6,0
1,57,43,15,0
0,109,71,76,15
2,104,86,97,11
2,116,84,128,22
0,103,88,95,13
0,88,70,80,11
0,90,73,80,7
0,87,67,73,13
0,91,70,83,7
0,86,77,90,16
0,112,83,94,3
1,33,28,5,0
0,94,73,57,13
2,117,88,111,17
0,85,70,62,8
2,111,72,141,11
2,100,81,121,16
0,98,76,96,6
2,107,88,104,11
1,39,38,5,2
0,97,70,81,7
1,39,28,8,0
2,120,77,119,13
0,109,78,82,7
2,101,88,123,16
0,103,77,79,15
1,104,48,19,1
2,85,78,100,10
0,105,78,89,7
2,118,96,137,21
0,106,68,89,8
2,112,74,121,17
2,94,90,116,16
0,105,67,85,15
0,95,77,64,3
0,88,71,85,6
0,114,69,79,21
2,103,97,129,18
1,57,32,12,5
2,98,88,123,13
0,100,83,97,7
0,97,88,84,2
1,40,30,8,0
2,93,77,99,13
0,110,75,92,8
2,122,75,129,26
0,92,71,73,7
0,94,71,68,12
0,94,71,66,10
1,71,62,19,7
0,98,78,83,10
0,84,68,46,6
2,123,117,142,21
0,95,63,85,4
0,103,80,98,15
1,43,24,4,2
0,96,74,68,4
0,101,72,87,21
2,106,77,128,11
0,102,77,97,11
2,97,81,129,8
0,101,77,81,12
1,42,35,9,0
0,96,73,91,12
2,110,83,114,14
2,97,95,116,20
1,35,27,7,2
0,82,64,62,7
1,42,27,14,1
1,117,53,33,6
0,96,76,72,10
0,95,68,91,19
0,100,70,87,14
0,96,92,76,3
0,89,64,48,2
1,41,36,7,3
0,104,73,91,11
0,88,63,78,6
0,92,75,88,10
0,100,74,79,12
0,92,63,67,7
0,100,76,82,9
0,89,68,71,13
0,99,79,86,12
2,95,88,135,4
0,88,63,93,11
0,93,74,77,9
1,49,35,14,0
1,36,22,8,0
2,105,81,111,6
0,99,74,67,8
0,94,68,100,14
1,12,13,1,0
0,105,79,98,15
0,78,71,60,2
1,11,14,6,0
0,76,68,40,8
2,109,77,113,14
1,36,34,4,1
0,89,64,64,4
1,44,29,2,0
2,116,84,131,11
0,84,64,69,9
0,103,73,88,15
0,94,67,73,10
0,90,75,67,9
1,40,28,3,0
1,38,35,9,3
1,37,25,8,0
1,44,39,12,0
0,93,71,98,22
0,91,70,86,8
1,58,45,19,5
2,108,86,107,20
0,97,79,83,9
0,94,65,82,10
0,94,76,68,5
0,99,65,59,9
0,101,69,82,6
2,99,76,100,15
1,50,39,8,4
2,111,86,114,18
0,103,85,88,13
2,97,79,105,11
0,103,84,63,16
1,49,29,15,4
0,96,67,100,22
2,105,86,97,14
0,92,82,57,10
0,93,70,85,15
0,107,78,95,20
1,39,23,5,2
1,12,10,35,5
2,111,89,152,22
0,89,64,74,8
1,10,13,2,1
0,100,53,71,17
0,87,61,64,14
1,36,37,13,4
0,93,75,76,6
0,90,64,101,14
0,82,74,80,9
2,113,78,130,18
0,85,68,66,2
1,38,34,2,0
0,98,74,51,9
0,93,76,84,8
1,29,24,11,1
0,81,66,68,8
0,98,81,84,10
2,99,86,137,8
1,86,37,17,1
0,92,80,87,13
0,87,67,58,9
2,105,75,104,14
0,106,70,62,5
1,44,39,13,5
2,126,68,132,31
2,107,74,152,15
0,101,80,70,13
1,13,10,4,1
0,87,70,86,8
0,106,71,71,3
0,110,78,84,9
0,97,73,87,7
0,89,64,62,16
0,94,66,64,7
0,99,78,79,11
1,40,27,8,0
2,138,81,153,26
1,27,23,7,0
0,81,70,56,10
2,83,80,111,20
1,47,28,9,0
0,93,86,63,14
2,98,85,118,12
0,80,66,68,5
0,84,73,53,8
0,93,84,55,11
0,84,75,62,8
1,54,45,11,1
2,111,76,127,29
1,11,14,4,0
1,47,40,13,1
0,91,75,69,13
0,99,62,83,12
1,40,38,9,2
1,38,34,5,0
2,102,75,146,19
2,98,81,102,9
1,85,45,21,3
1,38,35,5,1
0,99,76,81,13
1,62,36,14,21
1,70,36,10,1
2,94,108,104,11
0,115,51,64,14
1,39,28,6,0
0,88,78,83,10
2,105,86,97,15
1,38,42,5,0
1,43,29,10,4
1,39,28,3,0
1,93,45,16,0
2,122,90,132,13
0,91,70,68,6
2,101,82,119,17
0,95,73,75,10
0,98,84,85,9
0,99,63,78,11
0,92,82,78,18
2,106,74,128,9
1,43,32,14,1
1,16,18,2,1
0,95,71,75,17
2,99,80,108,19
2,105,67,109,11
2,112,79,118,9
0,96,70,75,7
0,102,58,62,11
1,49,26,16,0
1,47,40,14,2
0,87,77,93,11
2,108,80,100,9
0,82,62,47,9
0,109,78,95,7
0,90,74,70,4
0,94,76,64,10
1,11,10,1,1
0,79,67,73,10
2,102,78,101,7
1,42,17,16,0
0,88,68,61,0
2,95,78,119,18
1,79,41,14,5
0,76,63,53,7
0,85,71,85,8
0,97,65,73,5
2,113,83,139,8
2,124,83,137,9
2,111,69,103,17
0,97,83,56,1
1,34,24,5,2
2,103,68,123,20
0,100,74,87,10
1,43,32,5,1
0,101,76,96,8
0,103,80,90,5
1,38,26,12,3
0,96,79,94,28
0,101,73,73,5
1,87,41,20,1
2,100,59,117,17
0,95,69,81,14
2,100,86,133,13
