s0,s10,s90,s90d
45,31,11,0
92,81,94,13
98,84,81,12
35,35,2,0
89,66,51,6
96,79,77,22
100,79,68,12
88,78,82,12
98,67,98,16
81,68,49,8
81,68,65,6
88,72,69,15
85,66,79,8
94,71,75,10
88,78,100,21
94,90,62,8
47,32,9,0
90,82,125,10
90,70,53,8
38,32,5,0
91,78,102,9
37,35,8,0
88,77,73,21
89,68,63,4
30,25,3,0
49,42,11,0
99,80,105,12
28,28,2,0
83,73,91,7
36,30,7,1
49,38,10,0
98,88,87,15
87,71,72,10
43,34,3,6
44,28,5,0
119,67,93,19
97,75,121,20
83,62,63,5
85,84,69,9
78,73,77,12
42,37,6,2
78,70,37,10
108,101,100,23
45,27,7,5
96,72,87,13
96,71,76,10
33,23,4,0
103,85,69,2
118,103,85,7
38,34,3,1
44,37,8,3
11,8,0,1
44,33,11,3
89,70,78,12
122,107,89,13
97,88,87,7
93,83,91,15
93,73,58,9
56,58,4,0
114,89,89,13
90,72,89,15
15,15,9,0
134,112,125,29
47,35,7,1
94,77,66,18
109,80,84,6
106,84,134,10
16,15,1,6
92,80,93,19
86,67,68,14
73,75,49,4
50,36,9,0
127,117,141,19
13,12,1,0
141,106,143,16
101,92,73,13
105,70,75,11
104,66,77,22
12,12,0,0
102,50,86,8
93,74,95,8
53,34,10,1
110,77,94,25
104,85,77,9
106,79,72,12
80,38,12,2
128,113,96,12
113,80,123,21
102,68,89,10
103,68,76,8
164,72,69,5
68,56,86,8
40,31,5,1
90,69,68,4
99,70,114,12
108,91,103,7
98,76,89,10
102,86,99,13
92,70,66,11
46,31,11,2
99,78,76,11
105,84,103,11
32,21,7,1
50,45,6,4
83,76,77,8
107,76,83,16
103,78,120,14
104,79,89,17
105,72,104,22
63,40,13,4
115,73,110,15
114,92,145,25
97,76,75,23
93,73,87,22
70,63,12,3
130,118,105,8
53,40,8,0
86,79,90,6
97,87,83,8
89,70,41,11
136,122,143,15
101,83,104,10
107,97,98,20
122,117,74,7
46,29,5,3
97,85,106,19
100,73,88,13
97,85,80,13
60,60,11,3
102,74,90,5
98,69,102,13
100,85,111,18
98,73,83,13
14,15,1,1
43,27,8,2
96,82,113,11
51,39,9,1
40,41,6,4
129,123,144,15
103,77,82,19
115,88,131,23
47,35,9,0
95,68,50,5
124,87,123,20
78,36,11,0
89,56,62,7
105,86,121,14
105,68,81,14
92,74,72,8
11,10,0,0
97,86,89,15
105,76,93,12
99,71,92,7
40,33,5,0
53,32,6,0
110,81,100,11
35,26,5,2
34,37,3,3
79,55,13,4
39,30,9,0
99,95,122,19
36,27,6,0
121,74,75,9
106,92,128,15
115,77,104,15
97,73,74,3
105,78,104,6
37,39,10,4
84,79,65,8
103,68,109,9
129,104,124,18
15,22,5,0
115,83,105,24
119,74,105,17
97,70,52,9
16,27,7,0
78,70,66,6
133,73,40,3
46,35,2,3
97,59,69,8
116,102,66,9
51,45,4,2
116,76,134,22
115,80,102,21
120,76,138,26
38,30,8,2
112,74,94,18
10,12,0,0
112,88,108,7
74,74,49,11
96,80,89,11
103,82,102,10
108,85,86,15
13,16,0,0
91,71,60,12
74,63,48,4
33,33,5,1
106,81,107,12
87,83,110,15
51,33,69,14
76,38,9,0
103,84,72,5
103,80,83,11
46,38,8,1
132,90,124,13
52,44,3,0
49,37,10,0
